covariate	coef	exp(coef)	se(coef)	coef lower 95%	coef upper 95%	exp(coef) lower 95%	exp(coef) upper 95%	cmp to	z	p	-log2(p)
Age 	-0.03374431678188117	0.9668186723473255	0.02073020906193728	-0.07437477993526409	0.006886146371501763	0.9283237115364538	1.006909910393622	0.0	-1.6277846827815683	0.10357054949846738	3.2713142668892385
Baseline PSA	-0.018615547607262712	0.9815566515165597	0.010492204909263251	-0.039179891347833035	0.0019487961333076072	0.9615777140756437	1.0019506962706186	0.0	-1.774226463193414	0.07602569860700598	3.717369021402804
Metagene	-0.042990004401137406	0.9579209650128853	0.8092349816526753	-1.6290614234703122	1.5430814146680376	0.19611355535338096	4.678985976047157	0.0	-0.0531242536170894	0.9576329071430599	0.06245536641922884
Gleason total	-0.1547082137878855	0.8566651040850438	0.2520363006110863	-0.648690285782325	0.3392738582065541	0.5227299554786135	1.4039277697125665	0.0	-0.6138330606058752	0.5393256480322073	0.8907714509720909
Line of Therapy in Metastatic Setting	0.4072692523752709	1.5027086590718184	0.15222496107516778	0.10891381111993043	0.7056246936306114	1.1150662398892617	2.0251113640331178	0.0	2.675443301142733	0.007463049561741624	7.066019017640522
ctDNA level	-0.02658806504298082	0.9737622856419028	0.02231550840491785	-0.07032565781332067	0.017149527727359032	0.9320902280096236	1.0172974251251916	0.0	-1.1914613174182218	0.23347253369967907	2.09867525726932
tumor_fraction	4.632979742698844	102.81998520127124	3.2757291446199788	-1.7873314038645125	11.0532908892622	0.16740631395529176	63151.43740404574	0.0	1.4143354160730899	0.1572634429849602	2.6687447499684787
Metastatic Disease Burden	1.452418451111032	4.273437126538621	0.5266914705164594	0.42012213793433206	2.484714764287732	1.522147456211696	11.997697594902922	0.0	2.7576266797843334	0.005822264879697582	7.424203809348884
Race_Caucasian	-0.08344135365261804	0.9199450365054238	0.5017150082749738	-1.066784700374782	0.8999019930695459	0.34411316751506016	2.4593620648181886	0.0	-0.16631225352319243	0.8679112234221926	0.20438061452025702
AR/enhancer alterations detected in cfDNA_Yes	1.0006370549866237	2.7200140751625295	0.5979773121351064	-0.17137694037025097	2.1726510503434984	0.8425039398638858	8.781533496778142	0.0	1.673369598946491	0.09425455880091362	3.4072937910176737
